V1,V2,V3,V4
2187.7333,-0.0034,2834.0,608.17
2230.4222,-0.0148,2853.0,620.3582
2186.4111,0.0013,2936.0,625.9636
2199.0333,-0.0033,2936.0,625.2945
2233.3667,-0.0072,2865.0,645.7636
2233.3667,0.0055,2865.0,635.4936
2230.4222,0.0105,2853.0,618.2745
2248.9,0.0007,2865.0,635.8891
2248.9,-0.0066,2865.0,632.5727
2248.9,0.0049,2865.0,638.63
2195.1222,0.0013,2891.0,617.6045
2196.2111,-0.0154,2865.0,635.6382
2195.1222,0.0216,2936.0,627.5409
2184.4333,-0.0031,2872.0,608.79
2224.6222,-0.0119,2887.0,619.35
2224.6222,-0.0024,2875.0,624.0573
2270.2556,-0.0037,2845.0,631.9864
2270.2556,-0.0027,2845.0,639.8027
2207.3889,0.0014,2845.0,634.9736
2208.8556,-0.0179,2936.0,625.3827
2201.0667,0.0116,2839.0,637.3145
2207.3889,-0.0044,2839.0,633.9082
2207.3889,-0.0114,2845.0,640.8409
2160.3667,-0.0138,2887.0,620.9409
2203.9,0.0073,2848.0,618.9891
2257.1667,0.0058,2864.0,616.7164
2257.1667,-0.0056,2856.0,603.9627
2223.0333,0.0204,2890.0,631.2591
2190.4889,0.0032,2890.0,629.91
2180.3778,0.0138,2849.0,621.0227
2191.6667,0.0177,2864.0,618.6836
2180.3778,-0.0056,2849.0,621.2864
2197.3111,-0.0029,2910.0,612.82
2197.3111,0.0064,2864.0,611.83
2225.1777,0.017,2876.0,638.8782
2191.6667,0.0115,2854.0,618.0982
2223.1667,0.0088,2890.0,630.7564
2221.8445,0.0211,2849.0,620.7518
2222.6778,0.0079,2936.0,627.26
2169.4667,-0.0013,2864.0,615.4873
2221.5778,0.014,2890.0,632.2182
2180.3778,0.0137,2856.0,607.1155
2180.3778,0.0092,2910.0,607.6555
2174.8666,0.0067,2875.0,634.2891
2166.5222,-0.008,2859.0,605.4255
2166.5222,0.005,2859.0,597.61
2166.5222,0.0034,2856.0,607.94
2166.5222,0.011,2887.0,623.1345
2169.4667,0.0067,2908.0,618.6736
2174.8666,0.0065,2859.0,613.8827
2172.9778,0.0052,2832.0,613.2182
2180.6778,-0.0076,2910.0,610.4073
2166.5222,0.0146,2892.0,603.6827
2172.9778,0.0047,2864.0,616.1764
2180.6778,0.0031,2859.0,608.1282
2166.5222,0.0033,2836.0,614.0282
2206.5112,0.0029,2910.0,613.17
2164.4111,0.0116,2832.0,595.3218
2223.8,0.0263,2849.0,621.2836
2197.3111,-0.001,2832.0,611.5773
2206.5112,-0.0042,2859.0,600.7445
2220.5445,0.0044,2875.0,626.81
2206.5112,0.003,2892.0,611.3773
2246.4889,-0.0023,2832.0,608.3618
2187.5222,0.0071,2891.0,597.3318
2202.7111,0.0068,2862.0,608.1364
2202.7111,0.0136,2915.0,613.58
2202.7111,0.007,2864.0,613.01
2246.4889,0.009,2888.0,620.7982
2220.5445,0.0077,2910.0,611.83
2246.4889,-0.0058,2915.0,616.6455
2191.6667,0.0076,2910.0,613.8764
2191.6667,0.0011,2910.0,606.8355
2220.5445,0.0064,2832.0,609.9064
2199.3334,-0.0042,2906.0,611.2491
2191.6667,-0.0029,2892.0,619.2591
2183.4333,0.0022,2906.0,613.6809
2191.6667,0.0022,2888.0,622.63
2183.4333,-0.0042,2875.0,622.8191
2246.4889,-0.0099,2910.0,612.3109
2183.4333,-0.0016,2888.0,624.5064
2246.4889,-0.001,2875.0,629.4655
2239.3,0.0064,2859.0,603.5291
2202.7111,0.0165,2906.0,620.4782
2246.4889,0.0033,2888.0,619.6709
2199.3334,-0.0044,2891.0,605.5045
2199.3334,-0.0111,2891.0,602.0091
2183.4556,0.0007,2849.0,613.0836
2265.1889,0.023,2849.0,615.8845
2191.9,-0.0009,2891.0,598.2927
2265.1889,-0.0098,2808.0,626.0173
2174.8666,0.0349,2864.0,618.0136
2246.4889,-0.0167,2832.0,611.5009
2193.1555,0.0008,2908.0,599.6655
2172.3666,0.0043,2854.0,604.4064
2180.1556,0.007,2891.0,596.9864
2191.6667,0.0006,2875.0,631.4736
2265.1889,0.0028,2849.0,620.8382
2183.4556,0.0194,2849.0,617.4573
2232.5889,0.0053,2910.0,596.9264
2265.1889,0.0041,2849.0,621.5145
2209.9222,-0.0046,2849.0,612.2727
2213.7667,0.0004,2908.0,614.07
