V1,V2,V3,V4,V5,V6
2187.7333,97.6133,-0.0034,2.0222,2834.0,16.1445
2230.4222,102.3433,-0.0148,2.2667,2853.0,10.9036
2186.4111,95.4878,0.0013,2.3333,2936.0,11.3019
2199.0333,104.2367,-0.0033,2.6444,2936.0,13.5597
2233.3667,100.3967,-0.0072,3.1556,2865.0,21.9782
2233.3667,100.3967,0.0055,1.6333,2865.0,7.618
2230.4222,102.3433,0.0105,2.4889,2853.0,12.74
2248.9,106.24,0.0007,2.7889,2865.0,5.5936
2248.9,106.24,-0.0066,2.1444,2865.0,8.8612
2248.9,106.24,0.0049,2.3778,2865.0,6.8983
2195.1222,103.34,0.0013,1.9444,2891.0,7.8579
2196.2111,97.9156,-0.0154,2.0667,2865.0,9.4424
2195.1222,103.34,0.0216,2.8222,2936.0,11.0227
2184.4333,107.8711,-0.0031,2.3,2872.0,12.64
2224.6222,104.8489,-0.0119,2.4222,2887.0,10.2273
2224.6222,104.8489,-0.0024,2.2444,2875.0,5.9718
2270.2556,104.8078,-0.0037,2.9667,2845.0,16.6636
2270.2556,104.8078,-0.0027,2.2667,2845.0,9.6391
2207.3889,104.0311,0.0014,2.9556,2845.0,11.7073
2208.8556,107.8022,-0.0179,2.4556,2936.0,9.9538
2201.0667,101.5122,0.0116,2.3889,2839.0,9.8192
2207.3889,104.0311,-0.0044,2.7222,2839.0,11.5491
2207.3889,104.0311,-0.0114,2.9222,2845.0,10.1218
2160.3667,105.4978,-0.0138,2.0667,2887.0,13.1691
2203.9,102.2733,0.0073,2.4889,2848.0,15.3809
2257.1667,106.34,0.0058,2.4333,2864.0,16.7209
2257.1667,106.34,-0.0056,2.3111,2856.0,19.5391
2223.0333,109.7067,0.0204,2.8778,2890.0,9.3895
2190.4889,102.1178,0.0032,2.2,2890.0,13.3609
2180.3778,100.2789,0.0138,2.6444,2849.0,8.2273
2191.6667,100.6767,0.0177,2.1667,2864.0,11.3609
2180.3778,100.2789,-0.0056,2.9,2849.0,10.3808
