V1,V3,V5,V7,V8,V10
2187.7333,-0.0034,2834.0,608.17,-0.0044,75.2
2230.4222,-0.0148,2853.0,620.3582,0.0017,81.0
2186.4111,0.0013,2936.0,625.9636,0.0287,96.5
2199.0333,-0.0033,2936.0,625.2945,0.0277,123.7
2233.3667,-0.0072,2865.0,645.7636,-0.0048,123.1
2233.3667,0.0055,2865.0,635.4936,0.021,119.3
2230.4222,0.0105,2853.0,618.2745,0.0288,122.5
2248.9,0.0007,2865.0,635.8891,0.0086,201.1
2248.9,-0.0066,2865.0,632.5727,0.0306,116.8
2248.9,0.0049,2865.0,638.63,0.0008,211.9
2195.1222,0.0013,2891.0,617.6045,0.0356,146.2
2196.2111,-0.0154,2865.0,635.6382,0.0223,150.5
2195.1222,0.0216,2936.0,627.5409,0.0258,71.9
2184.4333,-0.0031,2872.0,608.79,-0.0093,80.2
2224.6222,-0.0119,2887.0,619.35,0.027,197.9
2224.6222,-0.0024,2875.0,624.0573,0.0347,126.0
2270.2556,-0.0037,2845.0,631.9864,0.0299,102.3
2270.2556,-0.0027,2845.0,639.8027,-0.1003,158.7
2207.3889,0.0014,2845.0,634.9736,-0.0095,28.9
2208.8556,-0.0179,2936.0,625.3827,-0.0019,100.1
2201.0667,0.0116,2839.0,637.3145,0.052,84.7
2207.3889,-0.0044,2839.0,633.9082,0.0455,73.9
2207.3889,-0.0114,2845.0,640.8409,0.0217,58.7
2160.3667,-0.0138,2887.0,620.9409,0.0225,136.5
2203.9,0.0073,2848.0,618.9891,-0.0164,136.6
2257.1667,0.0058,2864.0,616.7164,-0.0038,148.8
2257.1667,-0.0056,2856.0,603.9627,0.0377,179.4
2223.0333,0.0204,2890.0,631.2591,0.0153,117.0
2190.4889,0.0032,2890.0,629.91,0.0195,211.9
2180.3778,0.0138,2849.0,621.0227,0.0472,141.5
2191.6667,0.0177,2864.0,618.6836,0.0415,186.2
2180.3778,-0.0056,2849.0,621.2864,0.0372,202.2
2197.3111,-0.0029,2910.0,612.82,0.0264,52.1
2197.3111,0.0064,2864.0,611.83,0.0481,167.8
2225.1777,0.017,2876.0,638.8782,0.0431,121.6
2191.6667,0.0115,2854.0,618.0982,0.0324,137.6
2223.1667,0.0088,2890.0,630.7564,-0.0108,116.4
2221.8445,0.0211,2849.0,620.7518,0.0012,229.6
2222.6778,0.0079,2936.0,627.26,0.0313,98.3
2169.4667,-0.0013,2864.0,615.4873,-0.0029,128.7
2221.5778,0.014,2890.0,632.2182,0.0077,92.9
2180.3778,0.0137,2856.0,607.1155,0.0289,102.7
2180.3778,0.0092,2910.0,607.6555,0.0397,53.5
2174.8666,0.0067,2875.0,634.2891,0.0216,184.0
2166.5222,-0.008,2859.0,605.4255,-0.0208,99.0
2166.5222,0.005,2859.0,597.61,-0.0074,146.9
2166.5222,0.0034,2856.0,607.94,-0.0007,143.1
2166.5222,0.011,2887.0,623.1345,-0.04,172.4
2169.4667,0.0067,2908.0,618.6736,-0.0374,254.0
2174.8666,0.0065,2859.0,613.8827,-0.0108,129.0
2172.9778,0.0052,2832.0,613.2182,0.0048,180.1
2180.6778,-0.0076,2910.0,610.4073,-0.0115,149.1
2166.5222,0.0146,2892.0,603.6827,-0.0218,162.0
2172.9778,0.0047,2864.0,616.1764,0.0143,57.4
2180.6778,0.0031,2859.0,608.1282,-0.0276,187.7
2166.5222,0.0033,2836.0,614.0282,-0.0332,181.2
2206.5112,0.0029,2910.0,613.17,-0.0329,133.1
2164.4111,0.0116,2832.0,595.3218,-0.0473,136.7
2223.8,0.0263,2849.0,621.2836,0.0365,160.8
2197.3111,-0.001,2832.0,611.5773,0.0016,131.1
2206.5112,-0.0042,2859.0,600.7445,-0.0275,228.7
2220.5445,0.0044,2875.0,626.81,-0.021,158.2
2206.5112,0.003,2892.0,611.3773,-0.0248,157.4
2246.4889,-0.0023,2832.0,608.3618,-0.0333,198.1
